,partner,listGroup
607,PRADAN,Maa Tarini
608,PRADAN,Shiv Shankar Tejaswani mahila samiti
609,PRADAN,Jhinjhi Tola Resham Samuh
610,PRADAN,Sadak Tola Resham Samuh
611,PRADAN,Lapti Tola Resham Samuh
612,PRADAN,Manua Tola Resham Samuh
613,PRADAN,Rani Durgavati Tejaswani Mahila Samiti
614,PRADAN,Saraswati Tejaswani Mahila Samiti
615,PRADAN,Navchetna Tejaswani Mahila Samiti
616,PRADAN,Laxmi Tejaswani Mahila Samiti
617,PRADAN,Farmer Group-1
618,PRADAN,Sirish Baha M.M
619,PRADAN,Sarjom baha M.M
620,PRADAN,Joji soso peruwa ghag M.M
621,PRADAN,Upal Baha M.M
622,PRADAN,Ang Marshal1
623,PRADAN,Unnat Krishi Swasahayata Samuh 2
624,PRADAN,Durgawati Bai Mahila Samiti
625,PRADAN,Unnat Krishi Swasahayata Samuh 1
626,PRADAN,Narmada Mahila Samiti
627,PRADAN,Narmada Unnat Krishi Samuh
628,PRADAN,Ma Narmada Unnat Krishi Samuh
629,PRADAN,Shankar Bhagwan UKS
